index,w1,w2,count1,count2,total1,total2,isDuplicate
781.0,principal attorney,principal attorney,18.0,596.0,374362.0,374362.0,1.0
,land_transport_transport_via_pipelines_water_transport_air_transport_supporting_and_auxiliary_transport_activities_activities_of_travel_agencies,agriculture_hunting_forestry,3356.0,5757.0,223379.0,223379.0,0.0
3596.0,ecu,ecu,2723.0,14.0,463231.0,463231.0,1.0
229.0,puerto rico,pr,37.0,62.0,374362.0,374362.0,1.0
,az,wi,64.0,48.0,2720.0,2720.0,0.0
,961,860,1170.0,514.0,63279.0,63279.0,0.0
,layer 3 down,layer 2 up,121.0,98.0,740.0,740.0,0.0
,fl,rhode island,39.0,5.0,910.0,910.0,0.0
,united kingdom,22,1935.0,1.0,100048.0,100048.0,0.0
,prerecorded voice,live voice,223245.0,151932.0,943111.0,943111.0,0.0
,palau,india,544.0,132.0,68023.0,68023.0,0.0
,munich,madrid,2995.0,9543.0,125527.0,125527.0,0.0
,burundi,ga,880.0,2409.0,671205.0,671205.0,0.0
,pa,de,18.0,3998.0,85881.0,85881.0,0.0
,equals: gross domestic product,npishs final consumption expenditure,14712.0,6910.0,188939.0,188939.0,0.0
,splice_acceptor_variant,stop_lost&3_prime_utr_variant,401.0,3.0,65188.0,65188.0,0.0
,heartland film,satellite awards,9.0,5.0,331.0,331.0,0.0
4484.0,writing,write,311.0,2.0,31212.0,31212.0,1.0
,repositioning,layer 1 up,73.0,105.0,740.0,740.0,0.0
,sum,unweighted average,332.0,99.0,1518.0,1518.0,0.0
,serbia,marshall islands,26.0,46.0,9234.0,9234.0,0.0
346.0,south dakota,sd,180.0,143.0,374362.0,374362.0,1.0
,new caledonia,togo,1519.0,1519.0,401016.0,401016.0,0.0
,18c,10j,21.0,2430.0,399918.0,399918.0,0.0
,layer 2 up,layer 3 down,98.0,121.0,740.0,740.0,0.0
,memorandum_item_fisim_if_distributed_to_uses,public_administration_and_defence_compulsory_social_security,241.0,1244.0,61626.0,61626.0,0.0
,public administration and defence; compulsory social security,information and communication,1237.0,2672.0,61626.0,61626.0,0.0
,bayf,rich,72431.0,68299.0,3313625.0,3313625.0,0.0
,bosnia and herzegovina,serbia,2671.0,1735.0,151623.0,151623.0,0.0
,sunnyside,beaumont-wilshr,987.0,292.0,80256.0,80256.0,0.0
,duii,kidnap,1789.0,10.0,59853.0,59853.0,0.0
,saint vincent and the grenadines,united states,16.0,6093.0,671205.0,671205.0,0.0
701.0,management counsel,management counsel,2.0,6.0,374362.0,374362.0,1.0
438.0,new hampshire,nh,514.0,373.0,374362.0,374362.0,1.0
,mg,in,9.0,1562.0,2483304.0,2483304.0,0.0
,burkina faso,uruguay,412.0,414.0,79422.0,79422.0,0.0
,gabon,ghana,215.0,671.0,165808.0,165808.0,0.0
,va,district of columbia,924.0,170.0,48722.0,48722.0,0.0
1059.0,french bulldog x,french bull dog x,4.0,5.0,82545.0,82545.0,1.0
,"30,31",7,48.0,215.0,191325.0,191325.0,0.0
,telecommunications services,consumer staples,5.0,37.0,505.0,505.0,0.0
,mth2_0,copd2_0_1,1625.0,4350.0,403984.0,403984.0,0.0
,rutherford,trebbiano d'abruzzo,578.0,35.0,150930.0,150930.0,0.0
,indianapolis,castle donington,1.0,1.0,73.0,73.0,0.0
,yard trimming - x-mas trees,recycling - plastic bags,13.0,40.0,564403.0,564403.0,0.0
,st. kitts and nevis,australia,17.0,1034.0,151623.0,151623.0,0.0
3842.0,retailadvertising and pr servicesother/not classified,retail advertising and pr services other/not classified,15.0,5.0,22000.0,22000.0,1.0
,18/06/2010,20/04/2012,45.0,45.0,8190.0,8190.0,0.0
,mcar,colm,261823.0,158087.0,9971582.0,9971582.0,0.0
,peddler,tubed/piped shallow well,851.0,1394.0,41544.0,41544.0,0.0
,6,"7,9",3.0,1.0,258.0,258.0,0.0
,sitting,laying,623.0,681.0,3609.0,3609.0,0.0
,kerosene_type_jet_fuel,wind_electricity,34558.0,1367.0,1189482.0,1189482.0,0.0
,641,201,848.0,1.0,63279.0,63279.0,0.0
,finland,central african republic,46.0,46.0,9237.0,9237.0,0.0
,north carolina,west virginia,32.0,32.0,2720.0,2720.0,0.0
,pa,ge,193.0,2409.0,671205.0,671205.0,0.0
1525.0,1999 nlg euro / euro,1999 nlg euro / euro,1580.0,2063.0,227092.0,227092.0,1.0
1050.0,fox terrier wire,fox terrier (wire),22.0,12.0,82545.0,82545.0,1.0
,czech,mexican,1.0,6.0,842.0,842.0,0.0
,bolivia,bosnia and herzegovina,1.0,1.0,4572.0,4572.0,0.0
,"10,8","4,8",1.0,14.0,258.0,258.0,0.0
,hazelwood,tualatin - tu2,3807.0,11.0,61779.0,61779.0,0.0
,bass-baritone,snare drum,7337.0,12.0,806179.0,806179.0,0.0
,manufacturing_mining_and_quarrying_and_other_industrial_activities_b_c_d_e,forestry_and_logging_02,6573.0,5432.0,320551.0,320551.0,0.0
,pa,wy,64.0,16.0,2720.0,2720.0,0.0
,birmingham,new york city,16.0,64.0,2720.0,2720.0,0.0
,pri,ukr,1.0,1.0,269.0,269.0,0.0
1299.0,rottweiler cross,rottweiler cross,1.0,13.0,82545.0,82545.0,1.0
,cyprus,cambodia,56.0,54.0,374362.0,374362.0,0.0
,imn;che,can;col,1.0,1.0,2031.0,2031.0,0.0
,hp3,952,1.0,1374.0,73590.0,73590.0,0.0
,"3,172","8,16",13.0,15.0,595971.0,595971.0,0.0
,clinics-medic/dental,public assmbly other,581.0,196.0,198900.0,198900.0,0.0
,wy,tn,15.0,15.0,626.0,626.0,0.0
,local_03,local_08,90.0,29.0,439.0,439.0,0.0
,belgium,norway,205.0,200.0,8406.0,8406.0,0.0
1640.0,forint,forint,765.0,496.0,100048.0,100048.0,1.0
125.0,south dakota,sd,5.0,6.0,374362.0,374362.0,1.0
,netherlands,estonia,1071.0,1152.0,61626.0,61626.0,0.0
73.0,ks,ks,106.0,153.0,374362.0,374362.0,1.0
,final,quarter-finals,20.0,66.0,4572.0,4572.0,0.0
,w30,w20,5.0,6.0,70964.0,70964.0,0.0
,ros,ric,1.0,1.0,842.0,842.0,0.0
,sao paulo,irapuato,14.0,3.0,4572.0,4572.0,0.0
,cym;guf;gbr,vgb;jor,1.0,2.0,24957.0,24957.0,0.0
3772.0,tokaji,tokaj,71.0,29.0,150930.0,150930.0,1.0
,rural inclusion,vulnerable populations (syrian),21228.0,890.0,779092.0,779092.0,0.0
,malta,azerbaijan,7.0,1374.0,151623.0,151623.0,0.0
3803.0,sh.sta.bfed.zs,sh.sta.bfed.zs,1.0,432.0,463231.0,463231.0,1.0
,alto recorder,sousaphone,3.0,2.0,56194.0,56194.0,0.0
,university park,piedmont,383.0,483.0,63279.0,63279.0,0.0
,24-hour membership (austin b-cycle),weekender,1.0,24614.0,649231.0,649231.0,0.0
,oh,birmingham,64.0,16.0,2720.0,2720.0,0.0
,sweden,botswana,414.0,414.0,80583.0,80583.0,0.0
,morocco,iraq,9.0,1.0,4572.0,4572.0,0.0
,nì_rburg,suzuka,1.0,1.0,73.0,73.0,0.0
,st. louis,ky,16.0,48.0,2720.0,2720.0,0.0
,ambulance service,artist live/work,3.0,448.0,198900.0,198900.0,0.0
,kyrgyzstan,ethiopia,208.0,208.0,72485.0,72485.0,0.0
4482.0,games,gaming,168.0,125.0,31212.0,31212.0,1.0
,do,ro,584.0,1134.0,151623.0,151623.0,0.0
,angola,indonesia,1.0,78.0,374362.0,374362.0,0.0
,alcoholic_beverages_tobacco_and_narcotics,recreation_and_culture,5235.0,5260.0,100048.0,100048.0,0.0
,y16b,w13,9.0,33.0,2150.0,2150.0,0.0
425.0,ky,ky,709.0,916.0,374362.0,374362.0,1.0
,trebbiano d'abruzzo,rutherford,35.0,578.0,150930.0,150930.0,0.0
,west beaverton,arlington hghts,1.0,165.0,61497.0,61497.0,0.0
,860,961,514.0,1170.0,63279.0,63279.0,0.0
,iceland,montenegro,414.0,234.0,80583.0,80583.0,0.0
703.0,manager,manager,4.0,9.0,374362.0,374362.0,1.0
,es,lu,904.0,22.0,63465.0,63465.0,0.0
,suriname,qatar,46.0,46.0,9234.0,9234.0,0.0
,"26,33","17,42",1.0,7.0,223379.0,223379.0,0.0
,slovakia,ga,1.0,86.0,129971.0,129971.0,0.0
,group 4,round of 16,55.0,72.0,4572.0,4572.0,0.0
,hp4,610,3.0,1008.0,64618.0,64618.0,0.0
,chicago,in,48.0,32.0,2720.0,2720.0,0.0
,of_which_biogasoline,fuelwood,2170.0,52032.0,1189482.0,1189482.0,0.0
,ch,cg,21.0,39.0,24957.0,24957.0,0.0
,west virginia,north carolina,32.0,32.0,2720.0,2720.0,0.0
1016.0,dogue de bordeaux,dogue de bordeaux,32.0,13.0,82545.0,82545.0,1.0
,530,3,1385.0,12.0,73590.0,73590.0,0.0
1195.0,maremma sheepdog x,maremma sheep dog x,8.0,18.0,82545.0,82545.0,1.0
,treasure island,western addition,81.0,3867.0,198900.0,198900.0,0.0
4290.0,euro,euro,121517.0,2818.0,320551.0,320551.0,1.0
,american shorthair,domestic shorthair/maine coon,211.0,1.0,29421.0,29421.0,0.0
,20,961,13.0,1270.0,70964.0,70964.0,0.0
,germany,angola,2610.0,166.0,191325.0,191325.0,0.0
,ramon sanchez pizjuan,stanford stadium,2.0,6.0,4572.0,4572.0,0.0
,centurion,kochi,12.0,5.0,636.0,636.0,0.0
,financial_intermediation,memorandum_item_fisim_if_distributed_to_uses,6155.0,362.0,223379.0,223379.0,0.0
,gu,dz,8.0,1.0,85881.0,85881.0,0.0
,rich,bayf,68299.0,72431.0,3313625.0,3313625.0,0.0
,wi,baltimore,16.0,16.0,2720.0,2720.0,0.0
,19th,nbrk,274538.0,198806.0,9971582.0,9971582.0,0.0
,w06,z07,33.0,33.0,2117.0,2117.0,0.0
,education and training services,mineral and textile and inedible plant and animal materials,10643.0,2203.0,346018.0,346018.0,0.0
,lake,ssan,78480.0,51439.0,3313625.0,3313625.0,0.0
,ms,ca,13403.0,168451.0,768922.0,768922.0,0.0
,vgb;chn;usa,ind;imn,1.0,7.0,24957.0,24957.0,0.0
,santa fe remis,mexicali uberx,17.0,16.0,90287.0,90287.0,0.0
3796.0,u,u,37.0,13.0,158026.0,158026.0,1.0
,"25,38","5,31",3.0,4.0,223379.0,223379.0,0.0
,honduras,costa rica,22.0,120.0,515738.0,515738.0,0.0
,austria,netherlands,1.0,1.0,20.0,20.0,0.0
,r2z2,r3x1,33.0,33.0,2117.0,2117.0,0.0
,842,981,2794.0,991.0,82958.0,82958.0,0.0
,mexico,2,701.0,30.0,68023.0,68023.0,0.0
,kazakhstan,myanmar,2424.0,3243.0,884244.0,884244.0,0.0
,ireland,spain,46.0,46.0,9234.0,9234.0,0.0
,canada,united states,4.0,24.0,2031.0,2031.0,0.0
1582.0,tunisian dinar,tunisian dinar,921.0,851.0,227092.0,227092.0,1.0
,rancagua,sunderland,7.0,4.0,4572.0,4572.0,0.0
,euro area,dominican republic,1.0,1.0,269.0,269.0,0.0
,lkos - lake grove,downtown,1.0,5053.0,63279.0,63279.0,0.0
,san vicente,uruguay,2.0,24.0,129971.0,129971.0,0.0
4519.0,art classes,art,5.0,329.0,31212.0,31212.0,1.0
,liquor laws,larceny,2268.0,24178.0,61497.0,61497.0,0.0
,hayw,12th,1.0,1.0,46.0,46.0,0.0
,third place,group g,2.0,30.0,4572.0,4572.0,0.0
,iv,ii,31.0,40.0,439.0,439.0,0.0
,maury sec,alto adige terlano,1.0,10.0,129971.0,129971.0,0.0
,pry,per,6.0,78.0,59228.0,59228.0,0.0
,"congo, rep.",low income,1.0,1.0,269.0,269.0,0.0
,visuals,midi flute,1.0,2.0,56194.0,56194.0,0.0
,marshall park,hillside,29.0,57.0,63279.0,63279.0,0.0
,pirate radio,closed captioning on tv,2006.0,835.0,943111.0,943111.0,0.0
,nc,in,26.0,26.0,11106.0,11106.0,0.0
,spanish,swiss,15.0,23.0,842.0,842.0,0.0
,"other community, social and personal services",plus: statistical discrepancy,4940.0,358.0,225363.0,225363.0,0.0
,wholesale_retail_trade_restaurants_and_hotels_isic_g_h,transport_storage_and_communication_isic_i,9188.0,9188.0,73645.0,73645.0,0.0
526.0,associate council,associate counsel,1.0,1.0,374362.0,374362.0,1.0
,tubed/piped shallow well,peddler,1394.0,851.0,41544.0,41544.0,0.0
,malaysia,paraguay,107.0,433.0,151623.0,151623.0,0.0
,pleasant valley,hayden island,432.0,596.0,63279.0,63279.0,0.0
,ni,ir,3.0,3.0,161.0,161.0,0.0
227.0,pa,pa,2352.0,3567.0,374362.0,374362.0,1.0
,afg,hti,34.0,10.0,2772.0,2772.0,0.0
,paraguay,norway,1.0,1.0,155.0,155.0,0.0
,croatia,turkey,1.0,1.0,20.0,20.0,0.0
,azerbaijan,barbados,1519.0,1519.0,401016.0,401016.0,0.0
,pakistan,san marino,414.0,414.0,80583.0,80583.0,0.0
727.0,"of-counsel, odin feldman & pittleman, pc","of-counsel, odin feldman & pittleman pc",1.0,2.0,374362.0,374362.0,1.0
335.0,ok,ok,409.0,438.0,374362.0,374362.0,1.0
,96260-5478,09142-0002,1.0,1.0,1973.0,1973.0,0.0
,b.5*n,b.8n,8913.0,8193.0,215337.0,215337.0,0.0
,christmas tree lot,automobile sales,18.0,74.0,198900.0,198900.0,0.0
641.0,executive director,executive director,5.0,26.0,374362.0,374362.0,1.0
,rape,robbery,205.0,902.0,61779.0,61779.0,0.0
,ir,to,681.0,261.0,151623.0,151623.0,0.0
,pr,mp,1351.0,62.0,3324.0,3324.0,0.0
,layer 1 up,layer 2 up,195.0,39.0,565.0,565.0,0.0
,ca-dvbe ca-mb ca-sb ca-sbe cdvbe,ca-dvbe ca-mb ca-sb ca-sbe dbe mbe mosb sb sbasdb sdvosb,715.0,3.0,346018.0,346018.0,0.0
,barranquilla uberx,salta remis,12.0,1.0,90287.0,90287.0,0.0
,ok,ct,48.0,64.0,2720.0,2720.0,0.0
3791.0,field id by non-expert from video,field id by non-expert from video,4701.0,22651.0,513373.0,513373.0,1.0
,barbados,ukraine,12.0,376.0,374362.0,374362.0,0.0
,rytinis,vakarinis,1837593.0,917202.0,2933938.0,2933938.0,0.0
3792.0,f,f,8270.0,1578.0,158026.0,158026.0,1.0
,tag,condition,157611.0,371928.0,2483304.0,2483304.0,0.0
,afghanistan,republic of moldova,368.0,234.0,80583.0,80583.0,0.0
,24,guyana,1.0,70.0,191325.0,191325.0,0.0
,12,tajikistan,7.0,165.0,191325.0,191325.0,0.0
,communication,plus_direct_purchases_abroad_by_residents,4047.0,3944.0,100048.0,100048.0,0.0
,japan,30,1026.0,1.0,48269.0,48269.0,0.0
1208.0,neapolitan mastiff,neopolitan mastiff,6.0,3.0,82545.0,82545.0,1.0
,r1y3,r2x1,33.0,33.0,2117.0,2117.0,0.0
,ak,ga,7.0,7.0,558.0,558.0,0.0
,brfss,current population survey,299921.0,55.0,403984.0,403984.0,0.0
,bayview hunters point,seacliff,5669.0,992.0,198900.0,198900.0,0.0
,administrative and support service activities (n),"wholesale and retail trade, transportation and storage, accommodation and food service activities (g+h+i)",10694.0,6631.0,320551.0,320551.0,0.0
,cape town,ranchi,7.0,7.0,636.0,636.0,0.0
,wv,wi,10581.0,35267.0,619129.0,619129.0,0.0
,notes_incomestatement,gainloss,1.0,1.0,280.0,280.0,0.0
,usa,brn,16631.0,6.0,59228.0,59228.0,0.0
,timor-leste,greece,208.0,368.0,73645.0,73645.0,0.0
,ncon,ashb,1.0,1.0,46.0,46.0,0.0
,ga,ut,64.0,32.0,2720.0,2720.0,0.0
,q22langprofpython,q16hiringmanager,1.0,2.0,452.0,452.0,0.0
686.0,"law offices of prashanthi reddy, pllc","law offices of prashanthi reddy, pllc",2.0,1.0,374362.0,374362.0,1.0
,oyama,jerez de la frontera,1.0,1.0,73.0,73.0,0.0
,ca-dvbe ca-mb ca-sb ca-sbe cdvbe dbe sb sdvosb,ca-sb ca-sbe cdvbe dbe mosb sb,6.0,1.0,346018.0,346018.0,0.0
1467.0,isle of wight,isle of wight,2.0,5.0,50000.0,50000.0,1.0
,w31,821,1.0,1133.0,63279.0,63279.0,0.0
,balb,lafy,238171.0,150338.0,9971582.0,9971582.0,0.0
,ia,ne,332.0,276.0,48722.0,48722.0,0.0
,copd1_1,can7_1,6135.0,156.0,403984.0,403984.0,0.0
,founding member (austin b-cycle),denver b-cycle founder,2764.0,10.0,649231.0,649231.0,0.0
,vacant lot,accessory cottage,1813.0,5.0,198900.0,198900.0,0.0
,misc group residns.,fence/retaining wall,113.0,9.0,198900.0,198900.0,0.0
,stolen property,"assault, simple",55.0,4005.0,61281.0,61281.0,0.0
344.0,south carolina,sc,1379.0,1133.0,374362.0,374362.0,1.0
,okayama,rouen,1.0,1.0,73.0,73.0,0.0
,arson,embezzlement,372.0,259.0,73590.0,73590.0,0.0
,psl,ce,2.0,14733.0,24957.0,24957.0,0.0
,slovenia,united arab emirates,3.0,1.0,4572.0,4572.0,0.0
,agriculture_forestry_and_fishing,equals_gross_domestic_product,3093.0,4627.0,68023.0,68023.0,0.0
,cu-2,m202,1.0,2.0,198900.0,198900.0,0.0
,luxembourg,latvia,414.0,234.0,81106.0,81106.0,0.0
,phil,deln,64097.0,79246.0,3313625.0,3313625.0,0.0
1537.0,zloty,zloty,514.0,1283.0,227092.0,227092.0,1.0
,togo,belize,5749.0,125.0,671205.0,671205.0,0.0
,341,441,2.0,3.0,198900.0,198900.0,0.0
,bulgaria,guernsey,1314.0,543.0,515738.0,515738.0,0.0
,equals_general_government_final_consumption_expenditure,economic_affairs,6853.0,4338.0,48269.0,48269.0,0.0
,iran,panama,1.0,1.0,155.0,155.0,0.0
,q25langcplusplus,q12jobcritcompensation,3.0,1.0,452.0,452.0,0.0
,tonga,developing asia,2632.0,2594.0,884244.0,884244.0,0.0
,recycling - pilot,alley bulk removal,40.0,3.0,564403.0,564403.0,0.0
,robbery,gambling,1281.0,6.0,73590.0,73590.0,0.0
,352,962,1.0,1433.0,73590.0,73590.0,0.0
,la,wi,329.0,463.0,21112.0,21112.0,0.0
,co,la,104.0,115.0,7930.0,7930.0,0.0
,timor-leste,tuvalu,208.0,368.0,73646.0,73646.0,0.0
738.0,"paralegal, llm, llmc","paralegal, llm, llmc",2.0,1.0,374362.0,374362.0,1.0
,waiheke island,rio claro,10.0,5.0,129971.0,129971.0,0.0
,embr,nbrk,1.0,1.0,46.0,46.0,0.0
,viura-verdejo,muscat hamburg,1.0,1.0,150930.0,150930.0,0.0
,oh,ct,1.0,1.0,52.0,52.0,0.0
,al,nc,11626.0,24962.0,943111.0,943111.0,0.0
,finance jobs,social care jobs,1793.0,1823.0,50000.0,50000.0,0.0
,201,142,3.0,1.0,73590.0,73590.0,0.0
,gpha,ph1e,2.0,1.0,198900.0,198900.0,0.0
,philippines,mali,17.0,6.0,2772.0,2772.0,0.0
4434.0,palace of arts  (bela bartók national concert hall),palace of arts (bela bartók national concert hall),28.0,10.0,806179.0,806179.0,1.0
,woodland park,argay,25.0,553.0,61497.0,61497.0,0.0
,new hampshire,va,52.0,219.0,10621.0,10621.0,0.0
,new york,oh,24.0,24.0,1224.0,1224.0,0.0
,nv,zandvoort,1.0,1.0,73.0,73.0,0.0
,monaco,egypt,3.0,412.0,374362.0,374362.0,0.0
,afghanistan,south sudan,46.0,8.0,9237.0,9237.0,0.0
,central_bank_monetary_authorities_liabilities_included_in_the_definition_of_quasi_money,budgetary_central_government_revenue,4454.0,1700.0,884244.0,884244.0,0.0
,foxboro stadium,"fifa world cup stadium, hamburg",6.0,5.0,4572.0,4572.0,0.0
,planinceptionyear,fundingmeth_note,1.0,1.0,280.0,280.0,0.0
,trespass,forgery,5151.0,2523.0,82958.0,82958.0,0.0
,country_03,country_01,44.0,263.0,439.0,439.0,0.0
,himalayan,turkish van,38.0,2.0,29421.0,29421.0,0.0
,142,201,1.0,3.0,73590.0,73590.0,0.0
,total disability benefits,total membership,1.0,1.0,280.0,280.0,0.0
,mixed litter,recycling - paper,1292.0,32162.0,564403.0,564403.0,0.0
,america,vienna,95.0,72.0,129971.0,129971.0,0.0
,025,065a,3125.0,20.0,198900.0,198900.0,0.0
,z08,z16a,33.0,4.0,2150.0,2150.0,0.0
,ssan,oakl,154804.0,166850.0,9971582.0,9971582.0,0.0
,abu dhabi,east london,7.0,3.0,636.0,636.0,0.0
,"3,24","7,38",8.0,1.0,223379.0,223379.0,0.0
3560.0,new york,new york city,55325.0,688.0,107093.0,107093.0,1.0
,university park,crestwood,376.0,24.0,61779.0,61779.0,0.0
,cym;grc,aus;bmu,1.0,34.0,24957.0,24957.0,0.0
,y,n,2450.0,2507.0,374362.0,374362.0,0.0
,health_and_social_work,agriculture_hunting_forestry_fishing,4585.0,10897.0,225363.0,225363.0,0.0
3920.0,accounting and auditing servicesbusiness services - otherfinancial services,accounting and auditing services business services - other financial services,2.0,1.0,22000.0,22000.0,1.0
4238.0,red/brown,red & brown,62.0,34.0,82545.0,82545.0,1.0
4492.0,language,languages,413.0,10.0,31212.0,31212.0,1.0
,chicago ridge,chicago,1.0,1.0,13.0,13.0,0.0
,00765-0306,00901-1810,1.0,1.0,1351.0,1351.0,0.0
,noe valley,glen park,7844.0,2637.0,198900.0,198900.0,0.0
,peru,luxembourg,368.0,368.0,72485.0,72485.0,0.0
,denver b-cycle founder,founding member (austin b-cycle),10.0,2764.0,649231.0,649231.0,0.0
,chi,str,1.0,1.0,842.0,842.0,0.0
,northwest hts,vernon,20.0,187.0,61497.0,61497.0,0.0
4479.0,arts,art,63.0,329.0,31212.0,31212.0,1.0
,"4,9","5,3",12.0,11.0,258.0,258.0,0.0
,myanmar,tunisia,1.0,1.0,155.0,155.0,0.0
1765.0,forint,forint,44.0,334.0,48269.0,48269.0,1.0
,layer 2 up,end,131.0,109.0,1521.0,1521.0,0.0
,electronics,satb chorus,19.0,5.0,806179.0,806179.0,0.0
,administration of human resource programs,all other miscellaneous schools and instruction,1.0,6.0,374362.0,374362.0,0.0
4018.0,apricot,apricot,325.0,314.0,82545.0,82545.0,1.0
,spain,senegal,1.0,1.0,269.0,269.0,0.0
,sd,wv,15.0,15.0,626.0,626.0,0.0
4288.0,orange & brown,brown/orange,3.0,1.0,82545.0,82545.0,1.0
,former sudan,the former yugoslav republic of macedonia,304.0,208.0,73646.0,73646.0,0.0
,north dakota,new mexico,32.0,32.0,2720.0,2720.0,0.0
999.0,dachshund cross,dachshund cross,1.0,3.0,82545.0,82545.0,1.0
,ms,south carolina,59.0,184.0,7930.0,7930.0,0.0
,nd,wv,121.0,151.0,21112.0,21112.0,0.0
,a1050000000wf0v,a1050000006trqj,1061.0,9.0,4861.0,4861.0,0.0
,fraud,motor vehicle theft,2211.0,3408.0,64618.0,64618.0,0.0
,447,764,12.0,3.0,10001.0,10001.0,0.0
,iceland,sweden,368.0,368.0,73646.0,73646.0,0.0
,new grad,founder / ceo / cto,912.0,323.0,25090.0,25090.0,0.0
,british virgin islands,democratic people's republic of korea,368.0,276.0,73646.0,73646.0,0.0
925.0,bull terrier cross,bull terrier cross,1.0,4.0,82545.0,82545.0,1.0
,tur,dom;mex;esp,1.0,1.0,2031.0,2031.0,0.0
164.0,ga,ga,4017.0,2375.0,374362.0,374362.0,1.0
,tn,in,121.0,144.0,7930.0,7930.0,0.0
,nld,tea,1519.0,1519.0,401016.0,401016.0,0.0
,bayf,conc,217895.0,216652.0,9971582.0,9971582.0,0.0
,country_02,country_01,130.0,251.0,425.0,425.0,0.0
,iv,vi,155.0,1.0,439.0,439.0,0.0
,duii,fraud,1483.0,2008.0,61497.0,61497.0,0.0
,de,ia,16.0,32.0,2720.0,2720.0,0.0
,charbono,muskat ottonel,26.0,23.0,129971.0,129971.0,0.0
,ny,ne,112.0,48.0,2720.0,2720.0,0.0
,rto-adopt,euthanasia,150.0,6080.0,78256.0,78256.0,0.0
,literature,specimen,815.0,41213.0,513373.0,513373.0,0.0
,prints all numbers up to n,"prints ""hello, world!"" once",146.0,500.0,25090.0,25090.0,0.0
,mli,slb,235.0,5.0,15736.0,15736.0,0.0
3864.0,"falls church, va","falls church, va 22042",1.0,1.0,22000.0,22000.0,1.0
,r1z3,r1w1,33.0,33.0,2117.0,2117.0,0.0
,chad,somaliland,6.0,1.0,1518.0,1518.0,0.0
,gundagai,ardèche,3.0,4.0,129971.0,129971.0,0.0
,vernon,humboldt,518.0,913.0,82958.0,82958.0,0.0
,angola,st. lucia,1.0,1.0,269.0,269.0,0.0
,monsup,tca,2.0,52.0,11106.0,11106.0,0.0
,cyprus,republic of korea,414.0,414.0,80583.0,80583.0,0.0
,nv,ky,8571.0,10606.0,943111.0,943111.0,0.0
,subvention contracts with private/non-profit entity/agency,fleet,28.0,14148.0,346018.0,346018.0,0.0
,egypt,united arab emirates,62.0,1.0,374362.0,374362.0,0.0
,overlook,pleasant valley,869.0,525.0,70964.0,70964.0,0.0
,ken,lao,8.0,17.0,2772.0,2772.0,0.0
622.0,d,d.,1.0,1.0,374362.0,374362.0,1.0
,li,in,3.0,11.0,161.0,161.0,0.0
,065a,025,20.0,3125.0,198900.0,198900.0,0.0
4448.0,euro,euro,12319.0,394.0,68023.0,68023.0,1.0
,gamay,garnacha-syrah,535.0,20.0,150930.0,150930.0,0.0
3607.0,jam,jam,5.0,2390.0,463231.0,463231.0,1.0
55.0,de,de,5.0,28.0,374362.0,374362.0,1.0
,24,21,1.0,2.0,61779.0,61779.0,0.0
,other service activities (s),manufacturing (c),11308.0,14294.0,320551.0,320551.0,0.0
,office supplies,renewable energy products,362.0,585.0,671205.0,671205.0,0.0
,engineering jobs,charity jobs,1858.0,939.0,50000.0,50000.0,0.0
,motor vehicle theft,disorderly conduct,3284.0,4035.0,59853.0,59853.0,0.0
,am,hr,2.0,141.0,85881.0,85881.0,0.0
,iss,frparoth,164.0,12.0,1518.0,1518.0,0.0
,beneficiarybenefit_avg_est,reqcontrate_tot,1.0,1.0,280.0,280.0,0.0
4460.0,euro,euro,11818.0,432.0,61626.0,61626.0,1.0
,cb,cl,128.0,2038.0,24957.0,24957.0,0.0
,az,ut,1.0,1.0,52.0,52.0,0.0
,i-formula,i-multiple,595.0,708.0,667075.0,667075.0,0.0
,least developed countries: un classification,arab world,1.0,1.0,269.0,269.0,0.0
,alliance of women film journalists,hochi film awards,2.0,1.0,331.0,331.0,0.0
,white_spirit_and_special_boiling_point_industrial_spirits,biogasoline,10079.0,3871.0,1189482.0,1189482.0,0.0
,karalahna,black monukka,2.0,4.0,150930.0,150930.0,0.0
,czech republic,greece,12.0,466.0,129971.0,129971.0,0.0
,sen,alb,4.0,1.0,2772.0,2772.0,0.0
,dc,vt,1.0,10.0,558.0,558.0,0.0
,gps,cen,1697.0,3030.0,4861.0,4861.0,0.0
,cr,be,37.0,12482.0,2483304.0,2483304.0,0.0
3628.0,tree,tree,188239.0,1.0,188462.0,188462.0,1.0
,footnote_seqid,aruba,18.0,29.0,191325.0,191325.0,0.0
,bogotá ubervan,guadalajara,55.0,624.0,90287.0,90287.0,0.0
,841,872,501.0,389.0,82958.0,82958.0,0.0
,"17,42","26,33",7.0,1.0,223379.0,223379.0,0.0
,hi,fa,492.0,164.0,85881.0,85881.0,0.0
,moristel,pinotage-merlot,1.0,1.0,150930.0,150930.0,0.0
,00613-9368,00698-9659,1.0,1.0,1351.0,1351.0,0.0
,cambodia,mali,391.0,414.0,81106.0,81106.0,0.0
,joint power agreement,consulting services,387.0,1150.0,346018.0,346018.0,0.0
,bits,spr,1435.0,1251.0,610676.0,610676.0,0.0
,piano; piano,video artist,1.0,1.0,56194.0,56194.0,0.0
,chamber orchestra,bongo drums,13.0,1.0,56194.0,56194.0,0.0
,37,mexico,1.0,2979.0,320551.0,320551.0,0.0
,p,cf,1.0,1.0,24957.0,24957.0,0.0
