,w1,w2,ground_truth,prediction
618,sullivans gulch,northwest,0.0,0.0
619,in,indiana,1.0,1.0
620,united states,kenya,0.0,0.0
621,well digging,food,0.0,0.0
622,niger,chad,0.0,0.0
623,woodland park,richmond,0.0,0.0
624,mexico,israel,0.0,0.0
625,collins,collings,1.0,1.0
626,"includes electricity, gas, steam and air conditioning supply.","includes repairs of motor vehicles, motorcycles, and personal and households goods.",0.0,0.0
627,valparaiso uberx,salta,0.0,0.0
628,end,layer 2 down,0.0,0.0
629,cym;are,jey;pan,0.0,0.0
630,other_financial_corporations_other_banking_nonbank_financial_institutions_liabilities_included_in_definition_of_money,financial_corporations_survey_banking_survey_non_monetary_liabilities,0.0,0.0
631,bmu;prt,are,0.0,0.0
632,ict/telecommunications services,construction supervision,0.0,0.0
633,slovak koruna,slovak koruna,1.0,1.0
634,special counsel,special counsel,1.0,1.0
635,albania,hungary,0.0,0.0
636,cycle inspection / second compliance inspection,cycle inspection / compliance inspection,0.0,0.0
637,v,ao4qe,0.0,0.0
638,nursery(floral),parking lot,0.0,0.0
639,agriculture,retail,0.0,0.0
640,mwi,sen,0.0,0.0
641,cameroon,burkina faso,0.0,0.0
642,tha,som,0.0,0.0
643,argentina,bulgaria,0.0,0.0
644,writing,write,1.0,1.0
645,mt,id,0.0,0.0
646,writing,religion & beliefs,0.0,0.0
647,"american cinema editors, usa",gold derby awards,0.0,0.0
648,pdte.,pdte,1.0,1.0
649,204,882,0.0,0.0
650,layer 3 up,layer 2 up,0.0,1.0
651,nevada,indiana,0.0,0.0
652,british virgin islands,iraq,0.0,0.0
653,sbrn,cast,0.0,0.0
654,barbados,new zealand,0.0,0.0
655,missouri,mississippi,0.0,0.0
656,cym;col,vgb;hkg;usa,0.0,0.0
657,data for this year refers to semi-final data.,refers to import duties.,0.0,0.0
658,percent,prevalence,0.0,0.0
659,wlift,sustainable solar service package,0.0,0.0
660,lisbon,oporto,0.0,0.0
661,israel,latvia,0.0,0.0
662,actcostmeth,investmentreturn_longterm,0.0,0.0
663,gay,sjw,0.0,0.0
664,eastmoreland,far southwest,0.0,0.0
665,colombia,el salvador,0.0,0.0
666,south portland,sabin,0.0,0.0
667,jpn,deu;nld,0.0,0.0
668,wdub,12th,0.0,0.0
669,secretary,secretary,1.0,1.0
670,plus: taxes less subsidies on products,transportation and storage,0.0,0.0
671,timor-leste,fiji,0.0,0.0
672,ovc3_2,ckd1_0,0.0,0.0
673,nm,psl,0.0,0.0
674,09830-2602,00850-9846,0.0,0.0
675,colorado,kentucky,0.0,0.0
676,00802-3463,00822-4223,0.0,0.0
677,includes financial intermediation services indirectly measured (fisim) of the total economy.,includes real estate activities (l) of isic rev. 4,0.0,0.0
678,cameroon,nauru,0.0,0.0
679,cad,gbp,0.0,0.0
680,euro,euro,1.0,1.0
681,argentina,curaçao,0.0,0.0
682,sewage plant,hospital,0.0,0.0
683,mean,avgannnmbr,0.0,0.0
684,oklahoma,hawaii,0.0,0.0
685,minnesota,mn,1.0,0.0
686,local_02,local_10,0.0,0.0
687,north dakota,maryland,0.0,0.0
688,albania,australia,0.0,0.0
689,ne,sc,0.0,0.0
690,muni driver restroom,child care,0.0,0.0
691,fiscal year end,securities lending unrealized gains,0.0,0.0
692,moldova,canada,0.0,0.0
693,household consumption expenditure (including non-profit institutions serving households),imports of goods and services,0.0,0.0
694,161,922,0.0,0.0
695,st paul,st. paul,1.0,1.0
696,nauru,afghanistan,0.0,0.0
697,sewing,games,0.0,0.0
698,union of soviet socialist republics [former],seychelles,0.0,0.0
699,texas,georgia,0.0,0.0
700,prep,repositioning,0.0,0.0
701,construction,public_administration_and_defence_compulsory_social_security,0.0,0.0
702,cowan miller & lederman,cowan miller and lederman,1.0,1.0
703,administrative miscellaneous / compliance inspection,administrative miscellaneous / initial inspection,0.0,0.0
704,portugal,zaire,0.0,0.0
705,north carolina,louisiana,0.0,0.0
706,trinidad and tobago,mozambique,0.0,0.0
707,central african republic,moldova,0.0,0.0
708,delaware,minnesota,0.0,0.0
709,yemen,kosovo,0.0,0.0
710,accounting and auditing services nonprofit charitable organizations,accounting and auditing servicesnonprofit charitable organizations,1.0,1.0
711,jazz piano,"technical director, co-designer, and puppeteer",0.0,0.0
712,el salvador,colombia,0.0,0.0
713,layer 1 down,layer 3 up,0.0,0.0
714,mp,northern mariana islands,1.0,0.0
715,mt,montana,1.0,0.0
716,vanuatu,albania,0.0,0.0
717,tk,ka,0.0,0.0
718,estonia,15,0.0,0.0
719,oregon,georgia,0.0,0.0
720,silver,gray,0.0,0.0
721,washington,hawaii,0.0,0.0
722,expired,filed,0.0,0.0
723,ks,ct,0.0,0.0
724,gambling,arson,0.0,0.0
725,gbr,gbr,1.0,1.0
726,"expenditure survey/budget survey (es/bs), 2012/13","expenditure survey/budget survey (es/bs), 2007",0.0,0.0
727,ko,pk,0.0,0.0
728,direct_use_of_solar_thermal_heat,gas_coke,0.0,0.0
729,ni,fr,0.0,0.0
730,fort mill,yogyakarta,0.0,0.0
731,3rd place,2nd place,0.0,1.0
732,"raleigh, nc 27607","raleigh, nc",1.0,1.0
733,e_mmths,e_d210,0.0,0.0
734,north carolina,nc,1.0,0.0
735,connecticut,ct,1.0,1.0
736,ut,pa,0.0,0.0
737,kenya,bhutan,0.0,0.0
738,ne,nebraska,1.0,1.0
739,laos,greece,0.0,0.0
740,gabon,cameroon,0.0,0.0
741,inframe_insertion&splice_region_variant,start_lost,0.0,0.0
742,central valley,mendocino/lake counties,0.0,0.0
743,bastardo,alicante bouschet,0.0,0.0
744,dharamsala,rajkot,0.0,0.0
745,prd,prdnationwide,1.0,0.0
746,north america,europe & central asia,0.0,0.0
747,mm,mk,0.0,0.0
748,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,0.0,0.0
749,t24t25,pl,0.0,0.0
750,a,n,0.0,0.0
751,i-no class,b-trivial,0.0,0.0
752,forestry_and_logging,less_financial_intermediation_services_indirectly_measured_fisim,0.0,0.0
753,r-1,pier 2,0.0,0.0
754,com'l,bldg 449,0.0,0.0
755,"law offices of prashanthi reddy, pllc","law offices of prashanthi reddy, pllc",1.0,1.0
756,pet,gio,0.0,0.0
757,canadian grand prix,swedish grand prix,0.0,0.0
758,executive director- agent,executive director (agent),1.0,1.0
759,oklahoma,district of columbia,0.0,0.0
760,rosario,manaus,0.0,0.0
761,golden retriever cross,golden retriever cross,1.0,1.0
762,greenhouse_gas_ghgs_emissions_including_indirect_co2_without_lulucf_in_kilotonne_co2_equivalent,carbon_dioxide_co2_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0.0,1.0
763,iv,ii,0.0,0.0
764,dma,tjk,0.0,0.0
765,german grand prix,japanese grand prix,0.0,0.0
766,slovakia,italy,0.0,0.0
767,colorado,pennsylvania,0.0,0.0
768,calorie posting / initial inspection,smoke-free air act / second compliance inspection,0.0,0.0
769,az,mi,0.0,0.0
770,911,951,0.0,0.0
771,bol,bol,1.0,1.0
772,leipzig,eskilstuna,0.0,0.0
773,872,10,0.0,0.0
774,"partner, garganigo, goldsmith & weiss","partner, garganigo, goldsmith & wess",1.0,1.0
775,minnesota,south carolina,0.0,0.0
776,vi,virgin islands,1.0,1.0
777,president/ alcc,president/alcc,1.0,1.0
778,domestic_assets,consumer_prices,0.0,0.0
779,cuba,british virgin islands,0.0,0.0
780,"77,115","2,48",0.0,0.0
781,attorney of record,attorney of record,1.0,1.0
782,lithuania,jordan,0.0,0.0
783,louisiana,oregon,0.0,0.0
784,race,gender,0.0,0.0
785,cote d'ivoire,palau,0.0,0.0
786,west virginia,michigan,0.0,0.0
787,"integrated household survey (ihs), 2013/14","expenditure survey/budget survey (es/bs), 2010/11",0.0,0.0
788,zambia,turkey,0.0,0.0
789,5op,cs,0.0,0.0
790,"manufacturing, mining and quarrying and other industrial activities",less: financial intermediation services indirectly measured (fisim),0.0,0.0
791,neutered male cat,intact male kitten,0.0,0.0
792,higher education murabaha,gram utthan: sanitation,0.0,0.0
793,gio,pet,0.0,0.0
794,"assault, simple",larceny,0.0,0.0
795,california,alaska,0.0,0.0
796,y05,x07,0.0,0.0
797,clothing sales,beverages,0.0,0.0
798,z04,z12,0.0,0.0
799,vespolina,jacquez,0.0,0.0
800,eliot,w portland park,0.0,0.0
801,921,364,0.0,0.0
802,hnd,bhs,0.0,0.0
803,level dollar open,level dollar,0.0,1.0
804,"14,68","6,40",0.0,0.0
805,admin secretarial pa jobs,charity jobs,0.0,0.0
806,slovenia,belarus,0.0,0.0
807,a,n,0.0,0.0
808,average annual number,local control of the regulation of alcohol outlet density,0.0,0.0
809,ground,fairy,0.0,0.0
810,el molinon,san paolo,0.0,0.0
811,prague,budapest,0.0,0.0
812,layer 1 up,prep,0.0,0.0
813,frameshift_variant,intergenic_variant,0.0,0.0
814,"warren, il 60064","warren, il",1.0,1.0
815,bridlemile,dwrw,0.0,0.0
816,week,wk,1.0,0.0
817,public administration and defence; compulsory social security,"education; health and social work; other community, social and personal services",0.0,0.0
818,estate agents,forestry laborers,0.0,0.0
819,ca-mb ca-sb mbe mosb sb wbe wosb,ca-dvbe ca-mb ca-sb dvbe12324 sb,0.0,0.0
820,actcostmeth_note,notes_assetallocation,0.0,0.0
821,plus_statistical_discrepancy,plus_current_transfers_from_the_rest_of_the_world,0.0,0.0
822,atmosphericist,male soprano,0.0,0.0
823,australia,portugal,0.0,0.0
824,exports_of_goods_and_services,general_government_final_consumption_expenditure,0.0,0.0
825,39,21,0.0,0.0
826,al,pa,0.0,0.0
827,equals_gross_domestic_product,wholesale_retail_trade_repair_of_motor_vehicles_motorcycles_and_personal_and_households_goods_hotels_and_restaurants,0.0,0.0
828,"public administration and defence, education, human health and social work activities (o+p+q)",transportation and storage (h),0.0,0.0
829,argentina,colombia,0.0,0.0
830,french polynesia,belgium-luxembourg,0.0,0.0
831,04c,05b,0.0,0.0
832,cavalier king charles spaniel cross,cavalier king charles spaniel cross,1.0,1.0
833,myanmar,honduras,0.0,0.0
834,ca,ak,0.0,0.0
835,ucty,wdub,0.0,0.0
836,gm,general manager,1.0,0.0
837,of counsel,of counsel,1.0,1.0
838,lte,bhs,0.0,0.0
839,north tabor,gresham - north central,0.0,0.0
840,acl weekend pass special (austin b-cycle),24-hour membership (austin b-cycle),0.0,0.0
841,guadeloupe,moldova,0.0,0.0
842,28,"1,33",0.0,0.0
843,iceland,israel,0.0,0.0
844,091,033,0.0,0.0
845,connecticut,idaho,0.0,0.0
846,overlook,collins view,0.0,0.0
847,state,total contributions,0.0,0.0
848,"2,6","5,12",0.0,0.0
849,882,860,0.0,0.0
850,30,azerbaijan,0.0,0.0
851,weh,gut,0.0,0.0
852,french bull dog,french bulldog,1.0,1.0
853,ky,ny,0.0,0.0
854,lake,lakes,1.0,1.0
855,somalia,serbia,0.0,0.0
856,z07,r1x2,0.0,0.0
857,similkameen valley,king valley,0.0,0.0
858,"san francisco ca, ca 94107","san francisco, ca",1.0,1.0
859,720,921,0.0,0.0
860,wl2,300,0.0,0.0
861,e_d123,e_pinpat,0.0,0.0
862,161,841,0.0,0.0
863,nv,nevada,1.0,0.0
864,grand prize,man of the year,0.0,0.0
865,kent,new york state,0.0,0.0
866,prince george county,montrose county,0.0,0.0
867,associate counsel,associate council,1.0,0.0
868,ic.frm.freg.zs,ic.tax.metg,0.0,0.0
869,h,a,0.0,0.0
870,saturday,sunday,0.0,0.0
871,estonia,malta,0.0,0.0
872,marshall park,foster-powell,0.0,0.0
873,hit wicket,stumped,0.0,0.0
874,retail advertising and pr services sports and physical recreation,retail;advertising and pr services;sports and physical recreation,1.0,1.0
875,pa,ca,0.0,0.0
876,ken,chn,0.0,0.0
877,construction - industrial facilities and infrastructureconstruction - residential & commercial/office,construction - industrial facilities and infrastructure; construction - residential & commercial/office,1.0,1.0
878,agent on behalf of altra consulting services llc.,agent on behalf of altra consulting services llc,1.0,1.0
879,leone,leone,1.0,1.0
880,former czechoslovakia,british virgin islands,0.0,0.0
881,mississippi,utah,0.0,0.0
882,centre-nord,centre-nord,1.0,1.0
883,q28lovepython,q7level1,0.0,0.0
884,fruits & vegetables,transportation,0.0,0.0
885,sunset/parkside,western addition,0.0,0.0
886,raleigh west,mill park,0.0,0.0
887,commercial banking,vegetable and melon farming,0.0,0.0
888,social work,social welfare,1.0,1.0
889,drugs,sex offenses,0.0,0.0
890,executive director (agent),executive director- agent,1.0,1.0
891,ireland,burkina faso,0.0,0.0
892,lakeshore,russian hill,0.0,0.0
893,a1050000006tkek,a1050000000wfdb,0.0,0.0
894,closed captioning over the internet,tower,0.0,0.0
895,the former yugoslav republic of macedonia,united kingdom,0.0,0.0
896,sable/white,sable & white,1.0,1.0
897,alabama,illinois,0.0,0.0
898,switzerland,sweden,0.0,0.0
899,columbia valley,north coast,0.0,0.0
900,south sudan,niger,0.0,0.0
901,final consumption expenditure,changes in inventories,0.0,0.0
902,nevada,washington,0.0,0.0
903,master's,other,0.0,0.0
904,offices of mental health practitioners (except physicians),testing laboratories,0.0,0.0
905,10,wl2,0.0,0.0
906,hosfrd-abrnethy,arbor lodge,0.0,0.0
907,middle,comml-2,0.0,0.0
908,iv,iii,0.0,0.0
909,424,535,0.0,0.0
910,chad,bulgaria,0.0,0.0
911,"agriculture, hunting, forestry; fishing","equals: value added, gross, in basic prices",0.0,0.0
912,idaho,id,1.0,0.0
913,colonial theatre,colonial theater,1.0,1.0
914,a1050000004dc9c,a1050000000wf0z,0.0,0.0
915,881,pb2,0.0,0.0
916,freelancer,principal engineer,0.0,0.0
917,level dollar fixed,level dollar closed,0.0,0.0
918,energy and utilities engineering services,energy and utilities; engineering services,1.0,1.0
919,ssan,mont,0.0,0.0
920,republic of moldova,lao people's democratic republic,0.0,0.0
921,joint power agreement,contracts with local governments,0.0,0.0
922,a1050000000wf0h,a1050000000slyy,0.0,0.0
923,france,sweden,0.0,0.0
924,garnacha,sparkling blend,0.0,0.0
925,coolie x,collie x,1.0,1.0
926,wi,wa,0.0,0.0
927,texas,oklahoma,0.0,0.0
928,new zealand dollar,new zealand dollars,1.0,1.0
929,north america,southeastern asia,0.0,0.0
930,bahrain,australia,0.0,0.0
931,o,b-no class,0.0,0.0
932,professional_scientific_and_technical_activities,manufacturing,0.0,0.0
933,central african republic,zambia,0.0,0.0
934,rusk county,mclennan county,0.0,0.0
935,pakistan,romania,0.0,0.0
936,r1x7,r1y8,0.0,0.0
937,glen,rock,0.0,0.0
938,italy,romania,0.0,0.0
939,offenses against family,gambling,0.0,0.0
940,annual (madison b-cycle),annual membership (greenbike),0.0,0.0
941,russell,maplewood,0.0,0.0
942,plus_taxes_on_products,plus_statistical_discrepancy,0.0,0.0
943,fra,wsm,0.0,0.0
944,rwa,rwa,1.0,1.0
945,siamese/domestic shorthair,angora/persian,0.0,0.0
946,beige & black,beige/black,1.0,1.0
947,bichon frise cross,bichon frise cross,1.0,1.0
948,"partner, gibney, anthony & flaherty llp","partner, gibney, anthony & flaherty, llp",1.0,1.0
949,secretary,secretary,1.0,1.0
950,nicaragua,zimbabwe,0.0,0.0
951,other deductions,cost method,0.0,0.0
952,bolivia,united states,0.0,0.0
953,falanghina del beneventano,trento,0.0,0.0
954,antigua and barbuda,thailand,0.0,0.0
955,wcrk,mcar,0.0,0.0
956,mco,mdv,0.0,0.0
957,health_and_social_work,electricity_gas_and_water_supply,0.0,0.0
958,10,882,0.0,0.0
959,russia,ghana,0.0,0.0
960,vernon,king,0.0,0.0
961,attorney to ghafari associates,attorney for ghafari associates llc,1.0,1.0
962,cali uber,méxico df ubersuv,0.0,0.0
963,in,indiana,1.0,1.0
964,resid'l,comml 1,0.0,0.0
965,legal counsel,legal counsel,1.0,1.0
966,lebanon,australia,0.0,0.0
967,district of columbia,montana,0.0,0.0
968,k04,l05,0.0,0.0
969,somalia,mauritania,0.0,0.0
970,north dakota,connecticut,0.0,0.0
971,sgp,bmu;can;col,0.0,0.0
972,cambodia,armenia/azerbaijan/russia/(nagorno-karabakh),0.0,0.0
973,switzerland,usa,0.0,0.0
974,embr,nbrk,0.0,0.0
975,spiritualism,spirituality,1.0,1.0
976,prostitution,homicide,0.0,0.0
977,"labor force survey (lfs), 2013","priority survey (ps), 2006",0.0,0.0
978,renton,tullahoma,0.0,0.0
979,virginia,south carolina,0.0,0.0
980,quito cabify executive,salta remis,0.0,0.0
981,minnesota,nevada,0.0,0.0
982,south african grand prix,chinese grand prix,0.0,0.0
983,finger lakes,central coast,0.0,0.0
984,creative writing,creativity acting writing directing,1.0,1.0
985,biotechnology/pharmaceuticalshealthcare servicesmedical devices and supplies,biotechnology/pharmaceuticals; healthcare services; medical devices and supplies,1.0,1.0
986,slovakia,switzerland,0.0,0.0
987,weapons,motor vehicle theft,0.0,0.0
988,household products,industrial machinery,0.0,0.0
989,video,html,0.0,0.0
990,ut,nv,0.0,0.0
991,"assault, simple",weapons,0.0,0.0
992,exports_of_goods,plus_statistical_discrepancy,0.0,0.0
993,dental laboratories,new single-family housing construction (except operative builders),0.0,0.0
994,630,590,0.0,0.0
995,bangladesh,denmark,0.0,0.0
996,united kingdom,ukraine,0.0,0.0
997,"electricity, gas, steam and air conditioning supply",plus: statistical discrepancy,0.0,0.0
998,ia,mn,0.0,0.0
999,mill park,rose city park,0.0,0.0
1000,moldova,united arab emirates,0.0,0.0
1001,southwest hills,bridgeton,0.0,0.0
1002,luxembourg,lao people's democratic republic,0.0,0.0
1003,"american society of cinematographers, usa","hasty pudding theatricals, usa",0.0,0.0
1004,french polynesia,former sudan,0.0,0.0
1005,982,204,0.0,0.0
1006,tshwane/pretoria,berlin,0.0,0.0
1007,georgia,arkansas,0.0,0.0
1008,bahrain,"iran, islamic republic of",0.0,0.0
1009,womens-business-networking,women-business-networking,1.0,1.0
1010,munich,brussels,0.0,0.0
1011,assumed inflation,fiscal year,0.0,0.0
1012,general government final consumption expenditure,final consumption expenditure,0.0,1.0
1013,insurancefinancial services,insurance; financial services,1.0,1.0
1014,guam,gu,1.0,1.0
1015,czechoslovakia,dominica,0.0,0.0
1016,czech lion,guldbagge,0.0,0.0
1017,paraguay,united arab emirates,0.0,0.0
1018,republic rider (annual),local365 youth (age 13-17 riders),0.0,0.0
1019,movies-in-movie-theaters,movies-in-movie-theatres,1.0,1.0
1020,gl1,932,0.0,0.0
1021,nepal,france,0.0,0.0
1022,burkesville,portland,0.0,0.0
1023,democratic republic of the congo,singapore,0.0,0.0
1024,syrian arab republic,chile,0.0,0.0
1025,ireland,dominica,0.0,0.0
1026,bitumen,electricity_net_installed_capacity_of_electric_power_plants,0.0,0.0
1027,gbp,cad,0.0,0.0
1028,sandy brown,sandy/brown,1.0,1.0
1029,embezzlement,drugs,0.0,0.0
1030,grignolino,tai,0.0,0.0
1031,woodlawn,gresham - powell valley,0.0,0.0
1032,075,010p,0.0,0.0
1033,libya,puerto rico,0.0,0.0
1034,hayhurst,forest park,0.0,0.0
1035,ohio,west virginia,0.0,0.0
1036,kyrgyz republic,faroe islands,0.0,0.0
1037,ben lomond mountain,idaho,0.0,0.0
1038,burglary,trespass,0.0,0.0
1039,00850-9846,09830-2602,0.0,0.0
1040,offenses against family,liquor laws,0.0,0.0
1041,mining_manufacturing_utilities_isic_c_e,manufacturing_isic_d,0.0,0.0
1042,wi,pa,0.0,0.0
1043,napa-sonoma,south coast,0.0,0.0
1044,cameroon,canada,0.0,0.0
1045,bass viol,mandolin,0.0,0.0
1046,b.8n,d.9,0.0,0.0
1047,dc,mo,0.0,0.0
1048,"china, hong kong special administrative region",republic of korea,0.0,0.0
1049,arizona,arkansas,0.0,0.0
1050,bmu;can,vgb;kaz,0.0,0.0
1051,q25langclojure,q23framevuedotjs,0.0,0.0
1052,washington,new jersey,0.0,0.0
1053,"healthcare practitioners and technical workers, all other*","healthcare practitioners and technical workers, all other",1.0,1.0
1054,prostitution,weapons,0.0,0.0
1055,restaurant/food servicesfood and beverage production,restaurant/food services food and beverage production,1.0,1.0
1056,de,tx,0.0,0.0
1057,bzd,ils,0.0,0.0
1058,emerging fashion,emerging fashion designers,1.0,1.0
1059,bdi,bdi,1.0,1.0
1060,bt,tj,0.0,0.0
1061,inner sunset,glen park,0.0,0.0
1062,less_current_transfers_to_the_rest_of_the_world,equals_net_lending_net_borrowing_of_the_nation,0.0,0.0
1063,mongolia,turks and caicos islands,0.0,0.0
1064,mg,vn,0.0,0.0
1065,gresham - north central,north tabor,0.0,0.0
1066,lca,sau,0.0,0.0
1067,architectural and engineering,legal services,0.0,0.0
1068,macedonia,iceland,0.0,0.0
1069,mpcuo,202,0.0,0.0
1070,rou,lte,0.0,0.0
1071,prohibited,7-day membership (austin b-cycle),0.0,0.0
1072,"installation, maintenance, and repair workers, all other*","installation, maintenance, and repair workers, all other",1.0,1.0
1073,marionettes,bass-baritone,0.0,0.0
1074,md,maryland,1.0,0.0
1075,rich,ucty,0.0,0.0
1076,white/apricot,white & apricot,1.0,1.0
1077,md,pa,0.0,0.0
1078,d210,mpcwi,0.0,0.0
1079,discrepancy with equivalent item in table 1.2 (gross domestic product by expenditures at constant prices).,"includes professional, scientific and technical activities (m).",0.0,0.0
1080,woak,sanl,0.0,0.0
1081,sud-ouest,sud-ouest,1.0,1.0
1082,australia,turks and caicos islands,0.0,0.0
1083,gresham - a.s.e.r.t.,ardenwald,0.0,0.0
1084,wy,vt,0.0,0.0
1085,financial intermediation,mining and quarrying,0.0,0.0
1086,aruba,ghana,0.0,0.0
1087,zambia,thailand,0.0,0.0
1088,tuvalu,singapore,0.0,0.0
1089,per,tza,0.0,0.0
1090,peoria,cumberland furnace,0.0,0.0
1091,switzerland,codru region,0.0,0.0
1092,roofing materials,filling/service stn,0.0,0.0
1093,2nd place,won,0.0,0.0
1094,apache/2.4.25 (unix) openssl/1.0.1e-fips mod_bwlimited/1.4,dps/1.1.8,0.0,0.0
1095,general public services,equals: general government final consumption expenditure,0.0,0.0
1096,w21,130,0.0,0.0
1097,university armory hall,university armory,1.0,1.0
1098,hi,hawaii,1.0,0.0
1099,slamming (change of your carrier without permission),closed captioning on tv,0.0,0.0
1100,michigan,kentucky,0.0,0.0
1101,native hawaiian or other pacific islander,white,0.0,0.0
1102,average annual age-adjusted rate,commercial host (dram shop) liability status for alcohol service,0.0,0.0
1103,23,530,0.0,0.0
1104,jersey,peru,0.0,0.0
1105,wcrk,phil,0.0,0.0
1106,madagascar,portugal,0.0,0.0
1107,sint maarten (dutch part),costa rica,0.0,0.0
1108,west virginia,arkansas,0.0,0.0
1109,san marino,portugal,0.0,0.0
1110,manufacturing (isic d),"wholesale, retail trade, restaurants and hotels (isic g-h)",0.0,0.0
1111,e_102,e_monsup,0.0,0.0
1112,hamburgers,continental,0.0,0.0
1113,bull terrier cross,bull terrier cross,1.0,1.0
1114,information_and_communication,wholesale_and_retail_trade_repair_of_motor_vehicles_and_motorcycles,0.0,0.0
1115,networkingchicago,networkingafterworkchicago,0.0,0.0
1116,plus: statistical discrepancy,"wholesale, retail trade, repair of motor vehicles, motorcycles and personal and household goods",0.0,0.0
1117,ak,alaska,1.0,0.0
1118,hungary,singapore,0.0,0.0
1119,nc,ky,0.0,0.0
1120,massachusetts,ma,1.0,1.0
1121,ti,nk,0.0,0.0
1122,shiraz-malbec,nerello cappuccio,0.0,0.0
1123,canada,latvia,0.0,0.0
1124,dogue de bordeaux x,dogue de bordeaux x,1.0,1.0
1125,south tabor,collins view,0.0,0.0
1126,assetvalmeth_gasb,uaalyearestablished,0.0,0.0
1127,president's award,palme d'or,0.0,0.0
1128,ecuador,ireland,0.0,0.0
1129,va,virginia,1.0,0.0
1130,mo,nc,0.0,0.0
1131,parcel b,rear unit,0.0,0.0
1132,tajikistan,el salvador,0.0,0.0
1133,uganda,india,0.0,0.0
1134,algeria,burundi,0.0,0.0
1135,germany,mauritania,0.0,0.0
1136,industrial machinery,household products,0.0,0.0
1137,bolivia,south africa,0.0,0.0
1138,2nd place,3rd place,0.0,1.0
1139,mo,la,0.0,0.0
1140,malaysia,singapore,0.0,0.0
1141,"austin, tx 78701","austin, tx",1.0,1.0
1142,rwanda,cambodia,0.0,0.0
1143,sfia,pitt,0.0,0.0
1144,turks and caicos islands,mongolia,0.0,0.0
1145,ma,massachusetts,1.0,1.0
1146,st johns,south portland,0.0,0.0
1147,y04,z14,0.0,0.0
1148,annual (cincy red bike),annual (denver bike sharing),0.0,0.0
1149,agriculture_hunting_forestry,equals_value_added_gross_in_basic_prices,0.0,0.0
1150,south african,monegasque,0.0,0.0
1151,namibia,armenia,0.0,0.0
1152,less_sum_of_compensation_of_employees_and_property_income_to_the_rest_of_the_world,plus_compensation_of_employees_from_and_to_the_rest_of_the_world_net,0.0,0.0
1153,"11,5","7,4",0.0,0.0
1154,oceanview/merced/ingleside,portola,0.0,0.0
1155,q25langperl,q28lovehaskell,0.0,0.0
1156,ast2_1,npaw10_0,0.0,0.0
1157,psychic,fighting,0.0,0.0
1158,510,21,0.0,0.0
1159,white/champagne,champagne & white,1.0,1.0
1160,ie,lo,0.0,0.0
1161,kansas,hawaii,0.0,0.0
1162,iii,iv,0.0,0.0
1163,hi,nm,0.0,0.0
1164,brussels,silverstone,0.0,0.0
1165,w21,w31,0.0,0.0
1166,361,941,0.0,0.0
1167,"partner, pryor cashman llp","pasricha & patel, llc",1.0,0.0
1168,sd,de,0.0,0.0
1169,"veterans affairs, department of","coastal commission, california",0.0,0.0
1170,beaverton - west slope,gresham - north gresham,0.0,0.0
1171,convention and conference services,agreements with other governmental entities and public universities,0.0,0.0
1172,tuscaloosa,cave creek,0.0,0.0
1173,giuseppe meazza,rfk stadium,0.0,0.0
1174,n,a,0.0,0.0
1175,portugal,south africa,0.0,0.0
1176,gresham - northwest gresh,powelhst-gilbrt,0.0,0.0
1177,information and communication,"memorandum item: fisim, if distributed to uses",0.0,0.0
1178,tinian,monaco,0.0,0.0
1179,hour,hr,1.0,0.0
1180,creativity acting writing directing,creative writing,1.0,1.0
1181,manufacturing,education,0.0,0.0
1182,"fifa world cup stadium, frankfurt",estadio nacional,0.0,0.0
1183,ohio,california,0.0,0.0
1184,annual (boulder b-cycle),annual member,0.0,0.0
1185,tonga,romania,0.0,0.0
1186,michigan,mi,1.0,1.0
1187,venezuela (bolivarian republic of),sri lanka,0.0,0.0
1188,new mexico,new york,0.0,0.0
1189,track,urban,0.0,0.0
1190,ghana,mauritania,0.0,0.0
1191,iq.wef.cust.xq,sp.ado.tfrt,0.0,0.0
1192,knox city council,hobsons bay city council,0.0,0.0
1193,nauru,brunei darussalam,0.0,0.0
1194,financial district/south beach,marina,0.0,0.0
1195,jacksonville,seattle,0.0,0.0
1196,ftvl,ashb,0.0,0.0
1197,andorra,morocco,0.0,0.0
1198,alternatives expense,inception year,0.0,0.0
1199,other,bachelor's,0.0,0.0
1200,san antonio de las minas valley,dalmatian coast,0.0,0.0
1201,end,layer 3 up,0.0,0.0
1202,20,malta,0.0,0.0
1203,outdoors & adventure,support,0.0,0.0
1204,prosecco di valdobbiadene,beaujolais,0.0,0.0
1205,20,w50,0.0,0.0
1206,fighting,ice,0.0,0.0
1207,mandolin,bass viol,0.0,0.0
1208,liquor laws,curfew,0.0,0.0
1209,malbec blend,garnacha tintorera,0.0,0.0
1210,germany,trinidad and tobago,0.0,0.0
1211,soft coat wheaten terrier,soft coated wheaton terrier,1.0,1.0
1212,intergenic_variant,frameshift_variant,0.0,0.0
1213,mdv,inx,0.0,0.0
1214,hydrofluorocarbons_hfcs_emissions_in_kilotonne_co2_equivalent,nitrous_oxide_n2o_emissions_without_land_use_land_use_change_and_forestry_lulucf_in_kilotonne_co2_equivalent,0.0,0.0
